t,cpu.0,cpu.1,cpu.2,cpu.3,gpu.0,gpu.1,gpu.2,gpu.3,ram.0,ram.1,net.0,net.1,disk.0,disk.1,disk.2,disk.3
99.04,7.1,2.9,20.3,42.0,12.0,45.0,52.0,603.0,53.5,31.9,0.1,0.2,0.1,1002.0,310.0,876.0
100.045,5.7,2.6,14.9,42.0,3.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.0,1002.0,310.0,876.0
101.035,7.3,2.1,20.0,42.0,11.0,46.0,52.0,605.0,53.5,31.9,0.0,0.0,0.1,1002.0,310.0,876.0
102.039,8.6,3.2,23.1,42.0,2.0,45.0,52.0,604.0,53.5,31.9,0.1,0.2,0.0,1003.0,311.0,874.0
103.038,6.8,3.2,15.4,42.0,5.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,2.3,1003.0,311.0,874.0
104.032,10.0,1.2,25.4,42.0,5.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.5,1003.0,311.0,874.0
105.026,7.8,3.2,17.9,42.0,2.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.3,1003.0,311.0,874.0
106.05,8.2,1.5,24.3,42.0,4.0,45.0,52.0,603.0,53.4,31.9,0.0,0.0,0.0,1003.0,311.0,875.0
107.035,7.2,3.2,22.1,42.0,2.0,46.0,52.0,603.0,53.4,31.9,0.1,0.1,0.1,1003.0,311.0,875.0
108.04,7.6,3.2,20.3,42.0,7.0,45.0,52.0,604.0,53.4,31.9,0.0,0.0,0.2,1003.0,311.0,875.0
109.052,8.0,2.1,20.0,41.8,3.0,45.0,52.0,603.0,53.4,31.9,0.0,0.0,0.0,1003.0,311.0,875.0
110.032,8.9,3.2,20.6,41.8,5.0,46.0,52.0,603.0,53.4,31.9,0.0,0.0,0.0,1003.0,311.0,874.0
111.033,7.2,1.8,16.9,41.8,2.0,45.0,52.0,602.0,53.4,31.9,0.0,0.0,0.1,1003.0,311.0,874.0
112.028,7.4,3.2,21.7,41.8,0.0,45.0,52.0,603.0,53.4,31.9,0.0,0.0,1.6,1003.0,311.0,874.0
113.044,8.4,1.2,17.6,41.5,5.0,45.0,52.0,602.0,53.5,31.9,0.0,0.0,0.1,1003.0,311.0,874.0
114.038,8.1,3.2,20.3,41.5,4.0,45.0,52.0,602.0,53.5,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
115.046,7.4,3.2,20.0,41.5,7.0,45.0,52.0,602.0,53.2,31.9,0.0,0.0,0.1,1003.0,310.0,876.0
116.036,7.0,2.9,15.6,41.5,2.0,45.0,52.0,603.0,53.3,31.9,0.0,0.0,0.0,1003.0,310.0,876.0
117.042,5.0,1.9,17.2,42.0,5.0,45.0,52.0,603.0,53.2,31.9,0.0,0.0,0.3,1003.0,310.0,876.0
118.046,8.2,3.2,15.6,42.0,4.0,45.0,52.0,602.0,53.2,31.9,0.0,0.0,11.0,1001.0,311.0,875.0
119.03,7.7,3.2,18.2,42.0,7.0,45.0,52.0,601.0,53.2,31.9,0.0,0.0,0.4,1001.0,311.0,875.0
120.063,5.0,1.6,14.5,42.0,9.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.1,1001.0,311.0,875.0
121.033,6.4,1.2,15.9,41.3,4.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.0,1001.0,311.0,875.0
122.041,6.3,2.3,17.2,41.3,13.0,45.0,52.0,601.0,53.2,31.9,0.0,0.0,0.2,1003.0,310.0,873.0
123.033,8.3,3.2,18.2,41.3,11.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.3,1003.0,310.0,873.0
124.026,7.9,3.2,24.6,41.3,7.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.0,1003.0,310.0,873.0
125.044,8.2,3.2,22.7,41.8,18.0,45.0,52.0,600.0,53.3,31.9,0.2,0.2,0.0,1003.0,310.0,873.0
126.032,4.7,3.2,14.3,41.8,7.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.0,1002.0,311.0,876.0
127.044,9.1,2.8,23.1,41.8,7.0,45.0,52.0,599.0,53.2,31.9,0.0,0.0,0.2,1002.0,311.0,876.0
128.047,9.4,1.2,18.2,41.8,10.0,45.0,52.0,600.0,53.3,31.9,0.2,0.1,0.1,1002.0,311.0,876.0
129.04,7.4,2.6,18.5,41.3,6.0,45.0,52.0,599.0,53.3,31.9,0.0,0.0,0.1,1002.0,311.0,876.0
130.036,11.1,2.5,24.6,41.3,4.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.0,1000.0,311.0,875.0
131.034,6.6,2.5,15.9,41.3,8.0,45.0,52.0,600.0,53.2,31.9,0.0,0.0,0.0,1000.0,311.0,875.0
132.04,8.7,2.8,19.4,41.3,8.0,45.0,52.0,601.0,53.2,31.9,0.0,0.0,0.0,1000.0,311.0,875.0
133.046,8.8,3.1,18.8,41.5,5.0,45.0,52.0,601.0,53.2,31.9,0.0,0.0,0.0,1000.0,311.0,875.0
134.026,6.6,3.2,17.5,41.5,10.0,45.0,52.0,601.0,53.2,31.9,0.0,0.0,0.5,1002.0,311.0,873.0
135.033,6.9,2.8,24.6,41.5,3.0,45.0,52.0,601.0,53.2,31.9,0.0,0.0,0.0,1002.0,311.0,873.0
136.034,10.2,2.1,23.4,41.5,6.0,45.0,52.0,602.0,53.2,31.9,3.5,6.9,0.3,1002.0,311.0,873.0
137.027,10.1,2.9,20.0,41.3,15.0,45.0,52.0,603.0,53.2,31.9,1.1,2.0,0.7,1002.0,311.0,873.0
138.029,6.5,2.6,17.2,41.3,11.0,45.0,52.0,603.0,53.2,31.9,0.1,0.1,0.0,1002.0,311.0,873.0
139.032,5.8,3.2,16.9,41.3,1.0,45.0,51.0,602.0,53.2,31.9,0.0,0.0,0.1,1002.0,311.0,873.0
140.031,6.9,3.2,20.6,41.3,14.0,45.0,52.0,602.0,53.2,31.9,0.1,0.1,0.1,1002.0,311.0,873.0
141.037,7.9,3.2,15.9,41.8,8.0,45.0,52.0,603.0,53.2,31.9,0.1,0.1,0.1,1002.0,311.0,873.0
142.045,12.6,3.2,26.6,41.8,6.0,45.0,52.0,603.0,53.2,31.9,4.3,8.3,0.2,1003.0,311.0,874.0
143.042,9.5,1.2,18.8,41.8,4.0,45.0,52.0,603.0,53.2,31.9,0.0,0.0,0.1,1003.0,311.0,874.0
144.042,8.8,3.1,21.4,41.8,10.0,45.0,52.0,603.0,53.2,31.9,0.0,0.0,0.0,1003.0,311.0,874.0
145.035,6.7,3.2,17.9,41.8,4.0,45.0,52.0,603.0,53.0,31.9,0.0,0.1,0.0,1003.0,311.0,874.0
146.033,6.5,1.2,18.8,41.8,5.0,45.0,52.0,603.0,53.0,31.9,0.0,0.0,0.0,1001.0,311.0,876.0
147.031,7.9,3.2,20.3,41.8,13.0,45.0,52.0,602.0,53.0,31.9,0.1,0.1,0.2,1001.0,311.0,876.0
148.046,7.9,2.9,20.6,41.8,2.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.0,1001.0,311.0,876.0
149.027,10.6,3.2,19.7,41.8,5.0,45.0,52.0,604.0,53.0,31.9,0.1,0.1,1.1,1001.0,311.0,876.0
150.033,6.5,3.2,19.1,41.8,3.0,45.0,52.0,603.0,53.0,31.9,0.0,0.0,0.0,1002.0,310.0,876.0
151.026,7.0,3.2,17.2,41.8,4.0,45.0,52.0,604.0,53.0,31.9,0.3,0.7,0.1,1002.0,310.0,876.0
152.043,6.4,3.2,21.1,41.8,4.0,45.0,52.0,603.0,53.0,31.9,0.0,0.0,0.0,1002.0,310.0,876.0
153.023,8.7,3.2,23.2,42.0,3.0,45.0,52.0,603.0,53.0,31.9,0.0,0.0,0.1,1002.0,310.0,876.0
154.045,7.4,3.1,20.0,42.0,6.0,45.0,52.0,603.0,53.0,31.9,0.0,0.0,0.0,1002.0,311.0,873.0
155.035,7.2,3.2,19.4,42.0,7.0,45.0,52.0,604.0,53.1,31.9,0.0,0.0,0.0,1002.0,311.0,873.0
156.026,12.6,3.2,27.0,42.0,6.0,45.0,52.0,604.0,53.0,31.9,1.7,3.5,0.4,1002.0,311.0,873.0
157.038,16.7,2.5,31.4,42.5,8.0,45.0,52.0,604.0,53.0,31.9,2.5,4.9,0.1,1002.0,311.0,873.0
158.042,10.6,1.2,23.9,42.5,5.0,45.0,52.0,605.0,53.0,31.9,0.1,0.0,0.0,1002.0,311.0,878.0
159.04,11.6,1.3,23.1,42.5,3.0,45.0,52.0,605.0,53.0,31.9,0.1,0.2,0.2,1002.0,311.0,878.0
160.038,9.5,2.1,19.7,42.5,7.0,45.0,52.0,604.0,53.0,31.9,0.0,0.0,0.0,1002.0,311.0,878.0
161.025,6.4,3.2,19.0,41.8,12.0,45.0,52.0,604.0,53.0,31.9,0.1,0.1,0.1,1002.0,311.0,878.0
162.031,11.3,1.2,25.8,41.8,3.0,45.0,52.0,604.0,53.0,31.9,0.1,0.1,0.8,1000.0,311.0,874.0
163.046,9.6,1.3,21.9,41.8,10.0,45.0,52.0,605.0,53.1,31.9,4.2,8.4,0.4,1000.0,311.0,874.0
164.039,11.6,1.9,25.0,41.8,4.0,45.0,52.0,604.0,53.0,31.9,0.1,0.2,0.5,1000.0,311.0,874.0
